ipvId;ado;longName;Precio_AC;PRUVAL_MID_PRICE;N_CONTRIB_MID;MPU_FVA;N_CONTRIB_SPREAD;COC_FVA_P50;COC_FVA_MEAN
C0.GBMRISK.1000000730016_ON_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_ON_ATM;31.1779;31.1779;1;31.1779;1;5.6465;5.6465
C0.GBMRISK.1000000730016_ON_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_ON_10RR;1.3612;1.3612;1;1.3612;1;6.7767;6.7767
C0.GBMRISK.1000000730016_ON_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_ON_10FLY;1.5326;1.5326;1;1.5326;1;4.5178;4.5178
C0.GBMRISK.1000000730016_ON_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_ON_25RR;0.7658;0.7658;1;0.7658;1;3.9531;3.9531
C0.GBMRISK.1000000730016_ON_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_ON_25FLY;0.5152;0.5152;1;0.5152;1;2.8236;2.8236
C0.GBMRISK.1000000730016_1D_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1D_ATM;31.1779;31.1779;1;31.1779;1;5.6465;5.6465
C0.GBMRISK.1000000730016_1D_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1D_10RR;1.3612;1.3612;1;1.3612;1;6.7767;6.7767
C0.GBMRISK.1000000730016_1D_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1D_10FLY;1.5326;1.5326;1;1.5326;1;4.5178;4.5178
C0.GBMRISK.1000000730016_1D_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1D_25RR;0.7658;0.7658;1;0.7658;1;3.9531;3.9531
C0.GBMRISK.1000000730016_1D_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1D_25FLY;0.5152;0.5152;1;0.5152;1;2.8236;2.8236
C0.GBMRISK.1000000730016_1W_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1W_ATM;26.3531;26.3531;1;26.3531;1;2.1355;2.1355
C0.GBMRISK.1000000730016_1W_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1W_10RR;1.0296;1.0296;1;1.0296;1;2.5643;2.5643
C0.GBMRISK.1000000730016_1W_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1W_10FLY;1.031;1.031;1;1.031;1;1.7095;1.7095
C0.GBMRISK.1000000730016_1W_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1W_25RR;0.5644;0.5644;1;0.5644;1;1.4958;1.4958
C0.GBMRISK.1000000730016_1W_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1W_25FLY;0.3044;0.3044;1;0.3044;1;1.0684;1.0684
C0.GBMRISK.1000000730016_2W_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2W_ATM;22.3499;22.3499;1;22.3499;1;2.1675;2.1675
C0.GBMRISK.1000000730016_2W_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2W_10RR;0.5453;0.5453;1;0.5453;1;2.6036;2.6036
C0.GBMRISK.1000000730016_2W_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2W_10FLY;1.1562;1.1563;1;1.1563;1;1.7357;1.7357
C0.GBMRISK.1000000730016_2W_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2W_25RR;0.3163;0.3164;1;0.3164;1;1.5187;1.5187
C0.GBMRISK.1000000730016_2W_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2W_25FLY;0.3301;0.3301;1;0.3301;1;1.0848;1.0848
C0.GBMRISK.1000000730016_3W_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3W_ATM;21.9895;21.9894;1;21.9894;1;1.5151;1.5151
C0.GBMRISK.1000000730016_3W_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3W_10RR;0.3712;0.3712;1;0.3712;1;1.8207;1.8207
C0.GBMRISK.1000000730016_3W_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3W_10FLY;1.3422;1.3422;1;1.3422;1;1.2138;1.2138
C0.GBMRISK.1000000730016_3W_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3W_25RR;0.219;0.2191;1;0.2191;1;1.0621;1.0621
C0.GBMRISK.1000000730016_3W_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3W_25FLY;0.3751;0.3751;1;0.3751;1;0.7586;0.7586
C0.GBMRISK.1000000730016_1M_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1M_ATM;21.2027;21.2026;1;21.2026;1;1.0061;1.0061
C0.GBMRISK.1000000730016_1M_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1M_10RR;0.0619;0.0619;1;0.0619;1;1.2096;1.2096
C0.GBMRISK.1000000730016_1M_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1M_10FLY;1.4292;1.4292;1;1.4292;1;0.8064;0.8064
C0.GBMRISK.1000000730016_1M_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1M_25RR;0.0528;0.0528;1;0.0528;1;0.7056;0.7056
C0.GBMRISK.1000000730016_1M_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1M_25FLY;0.3933;0.3933;1;0.3933;1;0.504;0.504
C0.GBMRISK.1000000730016_2M_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2M_ATM;19.9295;19.9295;1;19.9295;1;0.8868;0.8868
C0.GBMRISK.1000000730016_2M_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2M_10RR;-0.4874;-0.4874;1;-0.4874;1;1.0676;1.0676
C0.GBMRISK.1000000730016_2M_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2M_10FLY;1.4602;1.4603;1;1.4603;1;0.7117;0.7117
C0.GBMRISK.1000000730016_2M_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2M_25RR;-0.2292;-0.2292;1;-0.2292;1;0.6228;0.6228
C0.GBMRISK.1000000730016_2M_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2M_25FLY;0.3909;0.3909;1;0.3909;1;0.4448;0.4448
C0.GBMRISK.1000000730016_3M_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3M_ATM;19.4509;19.4509;1;19.4509;1;0.797;0.797
C0.GBMRISK.1000000730016_3M_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3M_10RR;-0.6573;-0.6574;1;-0.6574;1;0.9609;0.9609
C0.GBMRISK.1000000730016_3M_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3M_10FLY;1.4741;1.4741;1;1.4741;1;0.6406;0.6406
C0.GBMRISK.1000000730016_3M_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3M_25RR;-0.3185;-0.3185;1;-0.3185;1;0.5605;0.5605
C0.GBMRISK.1000000730016_3M_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3M_25FLY;0.3876;0.3876;1;0.3876;1;0.4004;0.4004
C0.GBMRISK.1000000730016_6M_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_6M_ATM;18.6516;18.6516;1;18.6516;1;0.7971;0.7971
C0.GBMRISK.1000000730016_6M_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_6M_10RR;-1.0241;-1.0241;1;-1.0241;1;0.9648;0.9648
C0.GBMRISK.1000000730016_6M_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_6M_10FLY;1.6111;1.6111;1;1.6111;1;0.6432;0.6432
C0.GBMRISK.1000000730016_6M_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_6M_25RR;-0.5079;-0.5079;1;-0.5079;1;0.5628;0.5628
C0.GBMRISK.1000000730016_6M_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_6M_25FLY;0.3995;0.3995;1;0.3995;1;0.402;0.402
C0.GBMRISK.1000000730016_9M_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_9M_ATM;18.4374;18.4374;1;18.4374;1;0.8198;0.8198
C0.GBMRISK.1000000730016_9M_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_9M_10RR;-1.2936;-1.2936;1;-1.2936;1;0.9965;0.9965
C0.GBMRISK.1000000730016_9M_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_9M_10FLY;1.6868;1.6868;1;1.6868;1;0.6643;0.6643
C0.GBMRISK.1000000730016_9M_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_9M_25RR;-0.6415;-0.6415;1;-0.6415;1;0.5813;0.5813
C0.GBMRISK.1000000730016_9M_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_9M_25FLY;0.3932;0.3932;1;0.3932;1;0.4152;0.4152
C0.GBMRISK.1000000730016_1Y_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1Y_ATM;18.3026;18.3026;1;18.3026;1;0.8444;0.8444
C0.GBMRISK.1000000730016_1Y_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1Y_10RR;-1.3694;-1.3694;1;-1.3694;1;1.0307;1.0307
C0.GBMRISK.1000000730016_1Y_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1Y_10FLY;1.6749;1.675;1;1.675;1;0.6871;0.6871
C0.GBMRISK.1000000730016_1Y_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1Y_25RR;-0.6803;-0.6803;1;-0.6803;1;0.6013;0.6013
C0.GBMRISK.1000000730016_1Y_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_1Y_25FLY;0.3724;0.3724;1;0.3724;1;0.4294;0.4294
C0.GBMRISK.1000000730016_2Y_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2Y_ATM;18.3687;18.3687;1;18.3687;1;1.1686;1.1686
C0.GBMRISK.1000000730016_2Y_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2Y_10RR;-1.2494;-1.2494;1;-1.2494;1;1.4516;1.4516
C0.GBMRISK.1000000730016_2Y_10FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2Y_10FLY;1.5996;1.5996;1;1.5996;1;0.9677;0.9677
C0.GBMRISK.1000000730016_2Y_25RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2Y_25RR;-0.6252;-0.6252;1;-0.6252;1;0.8468;0.8468
C0.GBMRISK.1000000730016_2Y_25FLY;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_2Y_25FLY;0.3064;0.3064;1;0.3064;1;0.6048;0.6048
C0.GBMRISK.1000000730016_3Y_ATM;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3Y_ATM;18.7822;18.7822;1;18.7822;1;1.7439;1.7439
C0.GBMRISK.1000000730016_3Y_10RR;C0.GBMRISK.1000000730016;VOLFX-AUDBRL_3Y_10RR;-0.8812;-0.8812;1;-0.8812;1;2.2094;2.2094
